,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,RoomsAndArea
29,30,RM,60.0,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,96,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,520,520,Fa,N,SBrkr,520,0,0,1,0,1,Fa,0,Detchd,103.0,Unf,240,Y,49,0,87,0,5,2008,WD,Normal,68500,2080
30,70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,103,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,No,Unf,0,649,649,TA,N,SBrkr,649,668,0,1,0,3,TA,0,Detchd,103.0,Unf,250,N,0,54,172,0,7,2008,WD,Normal,40000,7902
31,20,RL,69.0,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,57,2006,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Unf,0,1228,1228,Gd,Y,SBrkr,1228,0,0,1,1,3,Gd,0,Attchd,57.0,Unf,271,Y,0,65,0,0,6,2008,WD,Normal,149350,7368
32,20,RL,85.0,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,16,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Av,Unf,0,1234,1234,Ex,Y,SBrkr,1234,0,0,2,0,3,Gd,0,Attchd,16.0,RFn,484,Y,0,30,0,0,1,2008,WD,Normal,179900,8638
33,20,RL,70.0,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,64,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,No,Rec,1018,380,1398,Gd,Y,SBrkr,1700,0,0,1,1,4,Gd,1,Attchd,64.0,RFn,447,Y,0,38,0,0,4,2010,WD,Normal,165500,10200
34,120,RL,60.0,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,18,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,No,GLQ,1153,408,1561,Ex,Y,SBrkr,1561,0,1,2,0,2,Ex,1,Attchd,18.0,Fin,556,Y,203,47,0,0,8,2007,WD,Normal,277500,9366
35,60,RL,108.0,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,19,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,Av,Unf,0,1117,1117,Ex,Y,SBrkr,1132,1320,0,3,1,4,Gd,1,BuiltIn,19.0,Fin,691,Y,113,32,0,0,9,2006,WD,Normal,309000,22068
36,20,RL,112.0,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,29,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,Unf,0,1097,1097,Ex,Y,SBrkr,1097,0,0,1,1,3,TA,0,Attchd,28.0,Unf,672,Y,392,64,0,0,6,2009,WD,Normal,145000,6582
37,20,RL,74.0,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,69,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,No,Rec,1213,84,1297,Gd,Y,SBrkr,1297,0,0,1,0,3,TA,1,Attchd,69.0,Fin,498,Y,0,0,0,0,10,2009,WD,Normal,153000,6485
38,20,RL,68.0,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,70,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,GLQ,731,326,1057,TA,Y,SBrkr,1057,0,1,1,0,3,Gd,0,Detchd,70.0,Unf,246,Y,0,52,0,0,1,2010,WD,Abnorml,109000,5285
39,90,RL,65.0,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,68,1955,Gable,AsbShng,Plywood,None,0.0,TA,TA,PConc,TA,No,Unf,0,0,0,TA,N,FuseP,1152,0,0,2,0,2,Fa,0,No Garage,0.0,No Garage,0,N,0,0,0,0,6,2008,WD,AdjLand,82000,6912
40,20,RL,84.0,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,58,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,No,Rec,643,445,1088,Ex,Y,SBrkr,1324,0,0,2,0,3,TA,1,Attchd,58.0,RFn,440,Y,0,138,0,0,12,2006,WD,Abnorml,160000,7944
41,20,RL,115.0,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,64,1959,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,BLQ,967,383,1350,Gd,Y,SBrkr,1328,0,0,1,1,2,TA,2,Attchd,64.0,RFn,308,P,0,104,0,0,7,2007,WD,Normal,170000,6640
42,85,RL,69.0,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,40,1983,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,Av,ALQ,747,0,840,Gd,Y,SBrkr,884,0,1,1,0,2,Gd,0,Attchd,40.0,RFn,504,Y,240,0,0,0,12,2007,WD,Normal,144000,4420
43,20,RL,69.0,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,48,1980,Hip,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,Av,LwQ,280,167,938,TA,Y,SBrkr,938,0,1,1,0,3,TA,0,Detchd,46.0,Unf,308,Y,145,0,0,0,7,2008,WD,Normal,130250,4690
44,20,RL,70.0,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,64,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,ALQ,179,465,1150,Ex,Y,FuseA,1150,0,1,1,0,3,TA,0,Attchd,64.0,RFn,300,Y,0,0,0,0,5,2006,WD,Normal,141000,6900
45,120,RL,61.0,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,18,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,No,GLQ,456,1296,1752,Ex,Y,SBrkr,1752,0,1,2,0,2,Ex,1,Attchd,18.0,RFn,576,Y,196,82,0,0,2,2010,WD,Normal,319900,10512
46,50,RL,48.0,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,20,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,No,GLQ,1351,83,1434,Ex,Y,SBrkr,1518,631,1,1,1,1,Gd,1,Attchd,20.0,RFn,670,Y,168,43,0,198,8,2009,WD,Abnorml,239686,12894
47,20,FV,84.0,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,17,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,1632,1656,Ex,Y,SBrkr,1656,0,0,2,0,3,Gd,0,Attchd,17.0,RFn,826,Y,0,146,0,0,7,2007,WD,Normal,249700,11592
48,190,RM,33.0,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,103,2008,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,736,736,Gd,Y,SBrkr,736,716,0,2,0,2,TA,0,No Garage,0.0,No Garage,0,N,0,0,102,0,6,2009,New,Partial,113000,11616
49,20,RL,66.0,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,57,1966,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,763,192,955,Ex,Y,SBrkr,955,0,1,1,0,3,TA,0,Attchd,57.0,Unf,386,Y,0,0,0,0,1,2007,WD,Normal,127000,5730
50,60,RL,69.0,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,26,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,Av,GLQ,182,612,794,Gd,Y,SBrkr,794,676,0,2,0,3,TA,0,Attchd,26.0,Fin,388,Y,0,75,0,0,7,2007,WD,Normal,177000,8820
51,50,RM,52.0,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,89,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,816,816,TA,Y,SBrkr,816,0,0,1,0,3,TA,1,Detchd,38.0,Unf,528,Y,112,0,0,0,9,2006,WD,Normal,114500,7056
52,90,RM,110.0,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,60,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,Gd,LwQ,104,0,816,TA,N,SBrkr,816,0,1,1,0,2,TA,0,CarPort,60.0,Unf,516,Y,106,0,0,0,5,2010,WD,Normal,110000,4080
53,20,RL,68.0,50271,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,42,1987,Gable,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,Gd,GLQ,1810,32,1842,Gd,Y,SBrkr,1842,0,2,0,1,0,Gd,1,Attchd,42.0,Fin,894,Y,857,72,0,0,11,2006,WD,Normal,385000,9210
54,80,RL,60.0,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,68,1955,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,384,0,384,TA,Y,SBrkr,1360,0,0,1,0,3,TA,1,Detchd,61.0,Unf,572,Y,0,50,0,0,2,2007,WD,Normal,130000,8160
55,20,RL,100.0,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,59,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,No,BLQ,490,935,1425,Gd,Y,SBrkr,1425,0,0,2,0,3,TA,1,Attchd,59.0,RFn,576,Y,0,0,0,0,7,2008,WD,Normal,180500,9975
56,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,24,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,No,GLQ,649,321,970,Ex,Y,SBrkr,983,756,1,2,1,3,Gd,0,Attchd,24.0,Fin,480,Y,115,0,0,0,8,2009,WD,Abnorml,172500,12173
57,60,RL,89.0,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,19,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,860,860,Ex,Y,SBrkr,860,860,0,2,1,3,Gd,0,Attchd,19.0,RFn,565,Y,0,70,0,0,8,2006,WD,Normal,196500,12040
58,60,RL,66.0,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,17,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,Gd,Unf,0,1410,1410,Ex,Y,SBrkr,1426,1519,0,3,1,3,Gd,1,BuiltIn,17.0,Fin,641,Y,192,0,37,0,10,2006,New,Partial,438780,29450
59,20,RL,60.0,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,51,1972,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,ALQ,632,148,780,Ex,Y,SBrkr,780,0,0,1,0,2,TA,0,Detchd,50.0,Unf,352,Y,196,0,0,0,1,2008,WD,Normal,124900,3120
60,20,RL,63.0,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,5,19,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,ALQ,941,217,1158,Ex,Y,SBrkr,1158,0,1,1,1,3,Gd,0,Detchd,17.0,Unf,576,Y,0,50,0,0,5,2006,New,Partial,158000,5790
61,75,RM,60.0,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,5,7,103,1996,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,530,530,TA,N,SBrkr,581,530,0,1,0,3,Fa,0,Detchd,88.0,Unf,288,N,0,0,144,0,3,2007,WD,Normal,101000,6666
62,120,RL,44.0,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,5,17,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Mn,GLQ,24,1346,1370,Ex,Y,SBrkr,1370,0,0,2,0,2,Gd,1,Attchd,17.0,RFn,484,Y,120,49,0,0,10,2007,WD,Normal,202500,8220
63,70,RM,50.0,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,RRAn,1Fam,2Story,7,6,102,1950,Gable,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,576,576,Gd,Y,SBrkr,902,808,0,2,0,3,TA,0,Detchd,33.0,Unf,480,Y,12,11,64,0,4,2010,WD,Normal,140000,15390
64,60,RL,69.0,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,26,1998,Gable,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,No,GLQ,739,318,1057,Ex,Y,SBrkr,1057,977,1,2,1,3,Gd,0,Attchd,25.0,RFn,645,Y,576,36,0,0,2,2009,WD,Normal,219500,16272
65,60,RL,76.0,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,19,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,Av,Unf,0,1143,1143,Ex,Y,SBrkr,1143,1330,0,2,1,4,Gd,1,BuiltIn,19.0,RFn,852,Y,192,151,0,0,10,2007,WD,Normal,317000,22257
66,20,RL,69.0,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,PosA,1Fam,1Story,7,5,53,1989,Gable,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,Gd,GLQ,912,1035,1947,TA,Y,SBrkr,2207,0,1,2,0,3,TA,1,Attchd,53.0,RFn,576,Y,301,0,0,0,7,2010,WD,Normal,180000,15449
67,20,RL,72.0,10665,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,20,2003,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,Av,GLQ,1013,440,1453,Ex,Y,SBrkr,1479,0,1,2,0,3,Gd,0,Attchd,20.0,RFn,558,Y,144,29,0,0,6,2007,WD,Normal,226000,10353
